text	label
Εἶδες, ὦ πᾶσα πόλι, τὸν φρόνιμον ἄνδρα, τὸν ὑπέρσοφον	POS
Εἶδες τὸν φρόνιμον ἄνδρα, τὸν ὑπέρσοφον	POS
Εἶδες τὸν φρόνιμον ἄνδρα	POS
ἃ δ' ὠδυνήθην, ψαμμακοσιογάργαρα.	NEG
καὶ φιλῶ τοὺς ἱππέας διὰ τοῦτο τοὔργον· ἄξιον γὰρ Ἑλλάδι.	POS
φιλῶ τοὺς ἱππέας	POS
ἀποβλέπων εἰς τὸν ἀγρόν, εἰρήνης ἐρῶν,	POS
Ἀλλ' ἕτερον ἥσθην	POS
Ἀλλ' ἕτερον ἥσθην, ἡνίκ' ἐπὶ Μόσχῳ ποτὲ Δεξίθεος εἰσῆλθ' ᾀσόμενος Βοιώτιον.	POS
Ὦ Διονύσια, αὗται μὲν ὄζουσ' ἀμβροσίας καὶ νέκταρος καὶ μὴ 'πιτηρεῖν σιτί' ἡμερῶν τριῶν, κἀν τῷ στόματι λέγουσι· «Βαῖν' ὅπῃ 'θέλεις». Ταύτας δέχομαι καὶ σπένδομαι κἀκπίομαι, χαίρειν κελεύων πολλὰ τοὺς Ἀχαρνέας. Ἐγὼ δὲ πολέμου καὶ κακῶν ἀπαλλαγεὶς ἄξω τὰ κατ' ἀγροὺς εἰσιὼν Διονύσια.	POS
Ὦ Διονύσια, αὗται μὲν ὄζουσ' ἀμβροσίας καὶ νέκταρος καὶ μὴ 'πιτηρεῖν σιτί' ἡμερῶν τριῶν,	POS
αὗται ὄζουσ' ἀμβροσίας καὶ νέκταρος 	POS
Ἀλλ' ὠδυνήθην ἕτερον αὖ τραγῳδικόν, ὅτε δὴ 'κεχήνη προσδοκῶν τὸν Αἰσχύλον, ὁ δ' ἀνεῖπεν· Εἴσαγ', ὦ Θέογνι, τὸν χορόν. Πῶς τοῦτ' ἔσεισέ μου δοκεῖς τὴν καρδίαν;	NEG
ὠδυνήθην ἕτερον αὖ τραγῳδικόν	NEG
στυγῶν μὲν ἄστυ, τὸν δ' ἐμὸν δῆμον ποθῶν,	NEG
στυγῶν μὲν ἄστυ	NEG
Ὦνδρες πρυτάνεις, ἀδικεῖτε τὴν ἐκκλησίαν	NEG
ἀδικεῖτε τὴν ἐκκλησίαν	NEG
Ὦ Κραναὰ πόλις, ἆρ' αἰσθάνει τὸν κατάγελων τῶν πρέσβεων;	NEG
ἆρ' αἰσθάνει τὸν κατάγελων τῶν πρέσβεων;	NEG
Ἡμεῖς δὲ λαικαστάς τε καὶ καταπύγονας.	NEG
Ἡμεῖς δὲ καταπύγονας.	NEG
Ποίας ἀχάνας; Σὺ μὲν ἀλαζὼν εἶ μέγας.	NEG
Σὺ μὲν ἀλαζὼν εἶ μέγας.	NEG
Ἕτερος ἀλαζὼν οὗτος εἰσκηρύττεται.	NEG
Κάκιστ' ἀπολοίμην, εἴ τι τούτων πείθομαι ὧν εἶπας ἐνταυθοῖ σὺ πλὴν τῶν παρνόπων.	NEG
Κάκιστ' ἀπολοίμην, εἴ τι τούτων πείθομαι	NEG
Τουτὶ τί ἐστι τὸ κακόν;	NEG
Οἴμοι τάλας ἀπόλλυμαι, ὑπὸ τῶν Ὀδομάντων τὰ σκόροδα πορθούμενος.	NEG
Τὸν βασιλέως Ὀφθαλμὸν ἡ βουλὴ καλεῖ εἰς τὸ πρυτανεῖον.	NEU
Πάριτ' εἰς τὸ πρόσθεν, πάριθ'	NEU
Ἀλλ' Ἀμφίθεός μοι ποῦ 'στιν;	NEU
Οἱ Θρᾷκες ἴτε δεῦρ', οὓς Θέωρος ἤγαγεν.	NEU
Ἐγὼ δὲ φευξοῦμαί γε τοὺς Ἀχαρνέας.	NEU
